x,y
124,20
125,20
126,20
127,20
128,20
129,20
130,20
131,20
144,20
145,20
146,20
147,20
148,20
149,20
150,20
151,20
124,21
125,21
126,21
127,21
128,21
129,21
130,21
131,21
144,21
145,21
146,21
147,21
148,21
149,21
150,21
151,21
124,22
125,22
126,22
127,22
128,22
129,22
130,22
131,22
144,22
145,22
146,22
147,22
148,22
149,22
150,22
151,22
124,23
125,23
126,23
127,23
128,23
129,23
130,23
131,23
144,23
145,23
146,23
147,23
148,23
149,23
150,23
151,23
120,24
121,24
122,24
123,24
124,24
125,24
126,24
127,24
144,24
145,24
146,24
147,24
120,25
121,25
122,25
123,25
124,25
125,25
126,25
127,25
144,25
145,25
146,25
147,25
120,26
121,26
122,26
123,26
124,26
125,26
126,26
127,26
144,26
145,26
146,26
147,26
120,27
121,27
122,27
123,27
124,27
125,27
126,27
127,27
144,27
145,27
146,27
147,27
112,28
113,28
114,28
115,28
112,29
113,29
114,29
115,29
112,30
113,30
114,30
115,30
112,31
113,31
114,31
115,31
108,32
109,32
110,32
111,32
112,32
113,32
114,32
115,32
116,32
117,32
118,32
119,32
136,32
137,32
138,32
139,32
140,32
141,32
142,32
143,32
108,33
109,33
110,33
111,33
112,33
113,33
114,33
115,33
116,33
117,33
118,33
119,33
136,33
137,33
138,33
139,33
140,33
141,33
142,33
143,33
108,34
109,34
110,34
111,34
112,34
113,34
114,34
115,34
116,34
117,34
118,34
119,34
136,34
137,34
138,34
139,34
140,34
141,34
142,34
143,34
108,35
109,35
110,35
111,35
112,35
113,35
114,35
115,35
116,35
117,35
118,35
119,35
136,35
137,35
138,35
139,35
140,35
141,35
142,35
143,35
52,36
53,36
54,36
55,36
56,36
57,36
58,36
59,36
104,36
105,36
106,36
107,36
108,36
109,36
110,36
111,36
112,36
113,36
114,36
115,36
132,36
133,36
134,36
135,36
136,36
137,36
138,36
139,36
52,37
53,37
54,37
55,37
56,37
57,37
58,37
59,37
104,37
105,37
106,37
107,37
108,37
109,37
110,37
111,37
112,37
113,37
114,37
115,37
132,37
133,37
134,37
135,37
136,37
137,37
138,37
139,37
52,38
53,38
54,38
55,38
56,38
57,38
58,38
59,38
104,38
105,38
106,38
107,38
108,38
109,38
110,38
111,38
112,38
113,38
114,38
115,38
132,38
133,38
134,38
135,38
136,38
137,38
138,38
139,38
52,39
53,39
54,39
55,39
56,39
57,39
58,39
59,39
104,39
105,39
106,39
107,39
108,39
109,39
110,39
111,39
112,39
113,39
114,39
115,39
132,39
133,39
134,39
135,39
136,39
137,39
138,39
139,39
48,40
49,40
50,40
51,40
52,40
53,40
54,40
55,40
104,40
105,40
106,40
107,40
108,40
109,40
110,40
111,40
48,41
49,41
50,41
51,41
52,41
53,41
54,41
55,41
104,41
105,41
106,41
107,41
108,41
109,41
110,41
111,41
48,42
49,42
50,42
51,42
52,42
53,42
54,42
55,42
104,42
105,42
106,42
107,42
108,42
109,42
110,42
111,42
48,43
49,43
50,43
51,43
52,43
53,43
54,43
55,43
104,43
105,43
106,43
107,43
108,43
109,43
110,43
111,43
116,44
117,44
118,44
119,44
120,44
121,44
122,44
123,44
156,44
157,44
158,44
159,44
160,44
161,44
162,44
163,44
116,45
117,45
118,45
119,45
120,45
121,45
122,45
123,45
156,45
157,45
158,45
159,45
160,45
161,45
162,45
163,45
116,46
117,46
118,46
119,46
120,46
121,46
122,46
123,46
156,46
157,46
158,46
159,46
160,46
161,46
162,46
163,46
116,47
117,47
118,47
119,47
120,47
121,47
122,47
123,47
156,47
157,47
158,47
159,47
160,47
161,47
162,47
163,47
56,48
57,48
58,48
59,48
112,48
113,48
114,48
115,48
116,48
117,48
118,48
119,48
152,48
153,48
154,48
155,48
156,48
157,48
158,48
159,48
172,48
173,48
174,48
175,48
56,49
57,49
58,49
59,49
112,49
113,49
114,49
115,49
116,49
117,49
118,49
119,49
152,49
153,49
154,49
155,49
156,49
157,49
158,49
159,49
172,49
173,49
174,49
175,49
56,50
57,50
58,50
59,50
112,50
113,50
114,50
115,50
116,50
117,50
118,50
119,50
152,50
153,50
154,50
155,50
156,50
157,50
158,50
159,50
172,50
173,50
174,50
175,50
56,51
57,51
58,51
59,51
112,51
113,51
114,51
115,51
116,51
117,51
118,51
119,51
152,51
153,51
154,51
155,51
156,51
157,51
158,51
159,51
172,51
173,51
174,51
175,51
52,52
53,52
54,52
55,52
100,52
101,52
102,52
103,52
104,52
105,52
106,52
107,52
52,53
53,53
54,53
55,53
100,53
101,53
102,53
103,53
104,53
105,53
106,53
107,53
52,54
53,54
54,54
55,54
100,54
101,54
102,54
103,54
104,54
105,54
106,54
107,54
52,55
53,55
54,55
55,55
100,55
101,55
102,55
103,55
104,55
105,55
106,55
107,55
100,56
101,56
102,56
103,56
124,56
125,56
126,56
127,56
128,56
129,56
130,56
131,56
100,57
101,57
102,57
103,57
124,57
125,57
126,57
127,57
128,57
129,57
130,57
131,57
100,58
101,58
102,58
103,58
124,58
125,58
126,58
127,58
128,58
129,58
130,58
131,58
100,59
101,59
102,59
103,59
124,59
125,59
126,59
127,59
128,59
129,59
130,59
131,59
104,60
105,60
106,60
107,60
124,60
125,60
126,60
127,60
128,60
129,60
130,60
131,60
104,61
105,61
106,61
107,61
124,61
125,61
126,61
127,61
128,61
129,61
130,61
131,61
104,62
105,62
106,62
107,62
124,62
125,62
126,62
127,62
128,62
129,62
130,62
131,62
104,63
105,63
106,63
107,63
124,63
125,63
